ID,Origin,Destination,Dist,CurrentTime,ShortName,Stopped,Route,TimeRange,WestUrl,EastUrl,nDist,nTime
149,1,23,24.8 miles,40 min,BF_DR,Stopped,I-94 W,37 - 49 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6258035,-87.5629628,15388m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5908895!2d41.6622953!3s0x880e26ce69ded745:0x1a62515ef573822b!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0","https://www.google.com/maps/dir/899+E+Chicago+Ave,+East+Chicago,+IN+46312/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.646054,-87.5853832,6289m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3m4!1m2!1d-87.5820491!2d41.6592912!3s0x880e26d5c7f5371f:0x13ff10391971e264!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0",24.8,40
130,1,23,22.7 miles,35 min,Sky,Stopped,I-90 W,32 - 43 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7007728,-87.5396113,21747m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5275249!2d41.7057664!3s0x8811d86fa1c5a6b1:0xb969c47b14cd3f23!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0","https://www.google.com/maps/dir/899+E+Chicago+Ave,+East+Chicago,+IN+46312/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6657244,-87.5822953,36761m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3m4!1m2!1d-87.518933!2d41.6654372!3s0x8811d8c7ebe6a1ff:0xb06e5add47ac9775!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",22.7,35
3,1,24,46.1 miles,1 h 3 min,BF_DR,Stopped,I-94 W,59 min - 1 h 12 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6108973,-87.5853252,30829m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5831618!2d41.5499012!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0","https://www.google.com/maps/dir/14500+Morse+St,+Cedar+Lake,+IN+46303/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.3799775,-87.9351244,123920m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3m4!1m2!1d-87.4215585!2d41.3654805!3s0x8811fbacc44e4309:0xdd6154ee01712ecf!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",46.1,63
111,1,24,42.9 miles,1 h 27 min,LS,Stopped,US-41 N,1 h 20 min - 1 h 40 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5348967,-87.5221127,61769m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5380925!2d41.7262429!3s0x8811d807bcdf21e3:0x680a8e1bca86fda9!3m4!1m2!1d-87.4696152!2d41.651274!3s0x8811dead7f1d055f:0x6ab3164aa028d04!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0","https://www.google.com/maps/dir/14500+Morse+St,+Cedar+Lake,+IN+46303/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7048169,-87.4974979,43670m/am=t/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3m4!1m2!1d-87.489507!2d41.667697!3s0x8811d93b48a3d6f3:0x95745452331d0d8f!3m4!1m2!1d-87.5403074!2d41.741843!3s0x880e280262e5438b:0x96a2b00c2cbb8c11!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",42.9,87
144,1,24,42.3 miles,1 h 26 min,Sky,Stopped,Indianapolis Blvd and I-90 W,1 h 14 min - 1 h 47 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6964373,-87.6194688,18348m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5422624!2d41.7173821!3s0x880e27f5aab3504d:0x98e573beb5c56887!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0","https://www.google.com/maps/dir/14500+Morse+St,+Cedar+Lake,+IN+46303/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6652551,-87.5499287,51808m/am=t/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3m4!1m2!1d-87.4700447!2d41.4315449!3s0x8811e35d2c32887b:0xe3505e461227730b!3m4!1m2!1d-87.4861424!2d41.6665085!3s0x8811d93a354a61d1:0xf086a1051360c0a1!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",42.3,86
86,1,25,64.2 miles,1 h 47 min,LS,Stopped,IN-49 N and US-12 W,NA,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5742453,-87.4646816,36675m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.1281889!2d41.6009192!3s0x8811bdcc1ab17677:0xf13ac9e512ac3c5!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!1b1!3e0","https://www.google.com/maps/dir/199+E+Indiana+Ave,+Kouts,+IN+46347/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7103244,-87.5503311,1934m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3m4!1m2!1d-87.534777!2d41.7124123!3s0x8811d874834f5133:0xc8db681facec5a76!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!1b1!3e0",64.2,107
22,1,25,64.6 miles,1 h 50 min,Sky,Stopped,IN-49 N and I-90 W,1 h 9 min - 1 h 28 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6928297,-87.5041775,15443m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5284818!2d41.7070226!3s0x8811d86e23b7d341:0xbab1a08fff96ef02!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0","https://www.google.com/maps/dir/199+E+Indiana+Ave,+Kouts,+IN+46347/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6400738,-87.5877026,33253m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3m4!1m2!1d-87.5184869!2d41.6641897!3s0x8811d8c7ebe6a1ff:0xb06e5add47ac9775!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",64.6,110
38,1,25,67.0 miles,1 h 13 min,BF_DR,Stopped,I-94 W,1 h 10 min - 1 h 23 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5832168,-87.4841799,25929m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5507615!2d41.5776553!3s0x880e201d02adf91b:0x93da92e48deb4ae3!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0","https://www.google.com/maps/dir/199+E+Indiana+Ave,+Kouts,+IN+46347/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.5787101,-87.5741289,2741m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3m4!1m2!1d-87.578793!2d41.5797434!3s0x880e202b4cdd58ef:0x58cdd8f8f9d7d05f!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0",67,73
135,1,26,46.3 miles,52 min,BF_DR,Stopped,I-94 W,49 min - 1 h,"https://www.google.com/maps/dir/41.8732155,-87.620362/41.5881995,-87.1836656/@41.7201379,-87.5506437,11z/data=!3m1!4b1!4m4!4m3!2m1!2b1!3e0","https://www.google.com/maps/dir/41.5881995,-87.1836656/41.8732155,-87.620362/@41.7202337,-87.5495694,11z/data=!3m1!4b1!4m4!4m3!2m1!2b1!3e0",46.3,52
82,1,26,39.5 miles,1 h 22 min,Sky,Stopped,I-90 W,44 - 57 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/2269+Willowcreek+Rd,+Portage,+IN+46368/@41.7173741,-87.5847886,12.25z/data=!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5409594!2d41.7165016!3s0x880e27f56cfaf111:0xbeb41bf63c23b2f1!1m5!1m1!1s0x8811bfb53e3653db:0x35f704fa2c55febd!2m2!1d-87.1833516!2d41.5883304!3e0","https://www.google.com/maps/dir/2269+Willowcreek+Rd,+Portage,+IN+46368/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7437752,-87.7604702,10.25z/data=!4m19!4m18!1m10!1m1!1s0x8811bfb53e3653db:0x35f704fa2c55febd!2m2!1d-87.1833516!2d41.5883304!3m4!1m2!1d-87.5180151!2d41.6628981!3s0x8811d8c7ebe6a1ff:0xb06e5add47ac9775!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",39.5,82
