,Origin,Destination,ShortName,TimeRetr,Route,Dist,CurrentTime,TimeRange,url,nDist,nTime
158,9,26,BF_DR,2015-08-15 16:00:44.685955,I-94 E,52.5 miles,1 h 3 min,56 min - 1 h 17 min,"https://www.google.com/maps/dir/Chicago,+IL+60638/41.5881995,-87.1836656/@41.6935494,-87.5318801,11.25z/data=!4m14!4m13!1m10!1m1!1s0x880e36ce9a6635d9:0x4283db81b4fe041d!2m2!1d-87.7818106!2d41.7923069!3m4!1m2!1d-87.597768!2d41.6702848!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m0!3e0",52.5,63
72,10,20,Sky,2015-08-15 16:00:13.167602,I-290 E,28.3 miles,1 h,45 min - 1 h 15 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/41.658386,+-87.559140/@41.6973502,-87.7142825,30722m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5597205!2d41.711458!3s0x880e27be1c00d14d:0x499a631c9cbd6f52!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",28.3,60
89,10,20,BF_DR,2015-08-15 16:00:19.558657,I-290 E and I-94 E,29.8 miles,58 min,41 min - 1 h 14 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/41.658386,+-87.559140/@41.6941489,-87.5788938,15384m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5989594!2d41.6911182!3s0x880e26f4b2808481:0x9b3e8c89cc2c6bac!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",29.8,58
15,10,21,BF_DR,2015-08-15 15:59:51.978553,I-94 E,47.2 miles,1 h 15 min,57 min - 1 h 32 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6207812,-87.5938164,25865m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5785848!2d41.6407079!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",47.2,75
129,10,21,Sky,2015-08-15 16:00:34.240148,I-90 E,43.0 miles,1 h 12 min,57 min - 1 h 29 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6454464,-87.5498908,18326m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5195869!2d41.6665449!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",43.0,72
159,10,21,TRI,2015-08-15 16:00:45.071813,I-294 S,53.2 miles,1 h 1 min,59 min - 1 h 14 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.5716497,-87.588582,10891m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5863757!2d41.5776055!3s0x880e21d7b0bc12cf:0xa0b8a57b2f292f8a!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",53.2,61
18,10,22,BF_DR,2015-08-15 15:59:53.181074,I-94 E,49.3 miles,1 h 20 min,1 h 1 min - 1 h 38 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6291861,-87.5621111,21742m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5785283!2d41.6324809!3s0x880e20e1dad260e9:0x19dae52afa417271!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0",49.3,80
74,10,22,TRI,2015-08-15 16:00:13.827699,I-294 S,55.3 miles,1 h 6 min,1 h 3 min - 1 h 20 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5750033,-87.5846406,2288m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5822087!2d41.5776138!3s0x880e21d5a5ecfe3d:0xe79a7a2011bc7c45!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",55.3,66
120,10,22,Sky,2015-08-15 16:00:31.034645,I-90 E,40.8 miles,1 h 6 min,51 min - 1 h 22 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6729015,-87.5786733,25874m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5194493!2d41.6661553!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",40.8,66
17,10,23,Sky,2015-08-15 15:59:52.783001,I-290 E,35.5 miles,1 h 15 min,57 min - 1 h 33 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7088662,-87.6173476,21732m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5277106!2d41.7062937!3s0x8811d86f6f51c9fb:0xf900ffb80cb82882!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",35.5,75
