,Origin,Destination,ShortName,TimeRetr,Route,Dist,CurrentTime,TimeRange,url,nDist,nTime
114,1,23,LS,2015-08-15 16:00:28.508254,US-41 S,20.7 miles,46 min,41 - 57 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7251733,-87.5758964,12955m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5411493!2d41.7273333!3s0x880e27f8fa97f937:0xeeef6d39d159c414!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",20.7,46
75,1,24,BF_DR,2015-08-15 16:00:14.175224,I-94 E,46.2 miles,1 h 3 min,58 min - 1 h 16 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6108973,-87.5853252,30829m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5831618!2d41.5499012!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",46.2,63
92,1,24,Sky,2015-08-15 16:00:20.635589,I-90 E and I-65 S,55.7 miles,1 h 6 min,1 h 3 min - 1 h 14 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6964373,-87.6194688,18348m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5422624!2d41.7173821!3s0x880e27f5aab3504d:0x98e573beb5c56887!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",55.7,66
151,1,24,LS,2015-08-15 16:00:42.164614,US-41 S,43.5 miles,1 h 32 min,1 h 24 min - 1 h 48 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5348967,-87.5221127,61769m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5380925!2d41.7262429!3s0x8811d807bcdf21e3:0x680a8e1bca86fda9!3m4!1m2!1d-87.4696152!2d41.651274!3s0x8811dead7f1d055f:0x6ab3164aa028d04!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",43.5,92
20,1,25,BF_DR,2015-08-15 15:59:53.887558,I-94 E,67.5 miles,1 h 12 min,1 h 9 min - 1 h 23 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5832168,-87.4841799,25929m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5507615!2d41.5776553!3s0x880e201d02adf91b:0x93da92e48deb4ae3!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0",67.5,72
39,1,25,Sky,2015-08-15 16:00:00.954273,I-90 E and IN-49 S,64.8 miles,1 h 9 min,1 h 7 min - 1 h 20 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6928297,-87.5041775,15443m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5284818!2d41.7070226!3s0x8811d86e23b7d341:0xbab1a08fff96ef02!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",64.8,69
97,1,25,LS,2015-08-15 16:00:22.532296,IN-49 S,65.1 miles,1 h 51 min,1 h 43 min - 2 h 7 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5742453,-87.4646816,36675m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.1281889!2d41.6009192!3s0x8811bdcc1ab17677:0xf13ac9e512ac3c5!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!1b1!3e0",65.1,111
93,1,26,BF_DR,2015-08-15 16:00:21.001042,I-94 E,46.3 miles,51 min,48 min - 1 h 1 min,"https://www.google.com/maps/dir/41.8732155,-87.620362/41.5881995,-87.1836656/@41.7201379,-87.5506437,11z/data=!3m1!4b1!4m4!4m3!2m1!2b1!3e0",46.3,51
130,1,26,LS,2015-08-15 16:00:34.641912,US-41 S and I-94 E,42.0 miles,1 h 7 min,1 h 2 min - 1 h 22 min,"https://www.google.com/maps/dir/41.8732155,-87.620362/41.5888116,-87.1833698/@41.7212402,-87.4514645,15391m/data=!3m1!1e3!4m16!4m15!1m10!3m4!1m2!1d-87.5412701!2d41.727406!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.4944331!2d41.6613107!3s0x8811d928e2754e75:0xca22541b32f43c61!1m0!2m1!2b1!3e0",42.0,67
149,1,26,Sky,2015-08-15 16:00:41.385810,I-90 E,40.2 miles,44 min,42 - 51 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/2269+Willowcreek+Rd,+Portage,+IN+46368/@41.7173741,-87.5847886,12.25z/data=!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5409594!2d41.7165016!3s0x880e27f56cfaf111:0xbeb41bf63c23b2f1!1m5!1m1!1s0x8811bfb53e3653db:0x35f704fa2c55febd!2m2!1d-87.1833516!2d41.5883304!3e0",40.2,44
24,2,20,BF_DR,2015-08-15 15:59:55.240182,I-94 E,33.9 miles,1 h 14 min,48 min - 1 h 37 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.7192261,-87.9337555,83344m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5865888!2d41.6602948!3s0x880e26d22d30fddb:0x6573a2958d5735f8!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",33.9,74
82,2,20,Sky,2015-08-15 16:00:16.693118,I-94 E,32.6 miles,1 h 18 min,53 min - 1 h 38 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.7849027,-87.6119851,21731m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5520522!2d41.7250842!3s0x880e27e590618dab:0xfce64340c09bf1be!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",32.6,78
111,2,20,TRI,2015-08-15 16:00:27.443152,I-294 S,53.5 miles,1 h,58 min - 1 h 13 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.656215,-87.749129,25864m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7769586!2d41.6805425!3s0x880e396019cd67ad:0xb52d4ac15e90eb0f!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",53.5,60
84,2,21,TRI,2015-08-15 16:00:17.475239,I-294 S,59.8 miles,1 h 6 min,1 h 4 min - 1 h 19 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6801193,-87.8095375,30766m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7837756!2d41.6915663!3s0x880e397a24e675f1:0xa5c02153a14634f5!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",59.8,66
131,2,21,BF_DR,2015-08-15 16:00:34.972055,I-94 E,51.3 miles,1 h 31 min,1 h 5 min - 1 h 55 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.706777,-87.5284905,25849m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5984156!2d41.6932334!3s0x880e26f53d7849a5:0xd2a758ebbab7f3e5!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",51.3,91
136,2,21,Sky,2015-08-15 16:00:36.785787,I-94 E and I-90 E,47.1 miles,1 h 30 min,1 h 5 min - 1 h 52 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7445949,-87.4564199,43496m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.544998!2d41.719227!3s0x880e27f40bfb3b1f:0xa2fe9b4360012d93!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",47.1,90
91,2,22,TRI,2015-08-15 16:00:20.306925,I-294 S,61.9 miles,1 h 10 min,1 h 8 min - 1 h 25 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.647919,-87.6336449,18321m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7256426!2d41.6525248!3s0x880e3c9b68682dfb:0x80929c4d2fe57b1f!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",61.9,70
143,2,22,BF_DR,2015-08-15 16:00:39.232652,I-94 E,53.4 miles,1 h 36 min,1 h 9 min - 2 h,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.6020866,-87.3300111/@41.6005653,-87.3174848,2287m/data=!3m1!1e3!4m14!4m13!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5920499!2d41.705421!3s0x880e265b77c47ec7:0xbfe801e794ffcf1e!1m0!3e0",53.4,96
153,2,22,Sky,2015-08-15 16:00:42.891288,I-94 E and I-90 E,44.9 miles,1 h 25 min,1 h - 1 h 48 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6999267,-87.5579962,9140m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5227667!2d41.6998033!3s0x8811d866eb7a6483:0x72ae1e638b7c2835!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",44.9,85
8,2,23,BF_DR,2015-08-15 15:59:49.478464,I-94 E,39.9 miles,1 h 29 min,1 h 2 min - 1 h 54 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6460847,-87.560664,21713m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5719743!2d41.6591988!3s0x880e272deb3d1b1f:0x7b222589ca37be5!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",39.9,89
13,2,23,TRI,2015-08-15 15:59:51.319702,I-294 S,56.5 miles,1 h 8 min,1 h 6 min - 1 h 22 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6285689,-87.7117855,25840m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6817913!2d41.6075733!3s0x880e22c34027ea37:0xbe687a4fbcb4d467!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",56.5,68
26,2,23,Sky,2015-08-15 15:59:56.295791,I-94 E and I-90 E,37.9 miles,1 h 21 min,56 min - 1 h 42 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7243547,-87.5461616,12942m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5415101!2d41.7168761!3s0x880e27f5aab3504d:0x98e573beb5c56887!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",37.9,81
49,2,24,Sky,2015-08-15 16:00:04.727634,I-90 E,70.3 miles,1 h 53 min,1 h 29 min - 2 h 18 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.7405366,-87.5469004,18317m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.542718!2d41.7176885!3s0x880e27f40bfb3b1f:0xa2fe9b4360012d93!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",70.3,113
54,2,24,BF_DR,2015-08-15 16:00:06.553013,I-94 E,60.8 miles,1 h 52 min,1 h 24 min - 2 h 19 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.590884,-87.5704798,15419m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5785576!2d41.6373308!3s0x880e20df8559ea03:0xf2d3524892d84c03!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0",60.8,112
146,2,24,TRI,2015-08-15 16:00:40.275408,I-294 S,69.0 miles,1 h 27 min,1 h 24 min - 1 h 44 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6089977,-87.6729212,7703m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6815961!2d41.6064098!3s0x880e22c34027ea37:0xbe687a4fbcb4d467!3m4!1m2!1d-87.5836765!2d41.5566289!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",69.0,87
46,2,25,BF_DR,2015-08-15 16:00:03.562048,I-94 E,82.1 miles,2 h 2 min,1 h 35 min - 2 h 28 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.570921,-87.570269,3852m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5762727!2d41.5778561!3s0x880e202a4f00fc8f:0x60a5dd7b5c2cc9e4!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0",82.1,122
102,2,25,Sky,2015-08-15 16:00:24.338505,I-90 E,79.4 miles,1 h 58 min,1 h 33 min - 2 h 24 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6548483,-87.6799191,30806m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5203988!2d41.6688432!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",79.4,118
115,2,25,TRI,2015-08-15 16:00:29.073934,I-294 S,90.6 miles,1 h 37 min,1 h 34 min - 1 h 52 min,"https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6381731,-87.7065934,2725m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6895525!2d41.6223236!3s0x880e232f2bccdb83:0x9608ca9f259b62be!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",90.6,97
77,2,26,TRI,2015-08-15 16:00:14.887920,I-294 S and I-80 E,69.1 miles,1 h 13 min,1 h 12 min - 1 h 28 min,"https://www.google.com/maps/dir/Niles,+IL+60714/41.5881995,-87.1836656/@41.6244224,-87.7029592,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3m4!1m2!1d-87.6826427!2d41.6100655!3s0x880e22db8fead595:0xdabd79aa1379a502!1m0!3e0",69.1,73
109,2,26,BF_DR,2015-08-15 16:00:26.753513,I-94 E,60.4 miles,1 h 39 min,1 h 13 min - 2 h 4 min,"https://www.google.com/maps/dir/Niles,+IL+60714/41.5881995,-87.1836656/@41.6797594,-87.5536742,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3m4!1m2!1d-87.5962554!2d41.6685264!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m0!3e0",60.4,99
122,2,26,Sky,2015-08-15 16:00:31.752903,I-90 W,54.1 miles,1 h 15 min,1 h 6 min - 1 h 37 min,"https://www.google.com/maps/dir/41.5881995,-87.1836656/Niles,+IL+60714/@41.6666556,-87.5181666,14.25z/data=!4m14!4m13!1m5!3m4!1m2!1d-87.5200466!2d41.6685829!3s0x8811d8bf43966913:0x6b98833cdc1c4d67!1m5!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3e0",54.1,75
34,3,20,TRI,2015-08-15 15:59:59.105161,I-294 S,52.6 miles,54 min,53 min - 1 h 4 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.6062151,-87.6890307,3236m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.6812648!2d41.6040768!3s0x880e22c3c48368ed:0xb33f749bb2239b51!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",52.6,54
103,3,20,Sky,2015-08-15 16:00:24.680524,I-290 E,48.1 miles,1 h 21 min,1 h 3 min - 1 h 51 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.7200129,-87.5747743,10898m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5550489!2d41.7272184!3s0x880e27e68976a87f:0xe47302de630872e8!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",48.1,81
119,3,20,BF_DR,2015-08-15 16:00:30.638076,I-290 E,49.4 miles,1 h 18 min,59 min - 1 h 51 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.7338985,-87.6368285,21808m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.6318599!2d41.8063177!3s0x880e2ea4c43b6ad5:0x7e1b1b997109886c!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",49.4,78
59,3,21,TRI,2015-08-15 16:00:08.381645,I-294 S,58.9 miles,1 h,59 min - 1 h 9 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6657813,-87.7540556,4582m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7556479!2d41.667851!3s0x880e3bee57eb3a97:0x3fcb7802ce89dbe9!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",58.9,60
65,3,21,Sky,2015-08-15 16:00:10.611883,I-90 E,69.9 miles,1 h 46 min,1 h 27 min - 2 h 22 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6345185,-87.6253231,43593m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5499136!2d41.7239699!3s0x880e27efe3f2a53d:0x6e6547dd38cdec18!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",69.9,106
99,3,22,TRI,2015-08-15 16:00:23.218324,I-294 S,61.0 miles,1 h 4 min,1 h 3 min - 1 h 15 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6158657,-87.7326511,15409m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7253113!2d41.6519397!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",61.0,64
101,3,22,Sky,2015-08-15 16:00:24.005574,I-90 E,60.4 miles,1 h 27 min,1 h 9 min - 1 h 58 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6891333,-87.6829891,21763m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5206541!2d41.6695655!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",60.4,87
96,3,23,TRI,2015-08-15 16:00:22.140307,I-294 S,55.7 miles,1 h 2 min,1 h - 1 h 12 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6201772,-87.7299422,30780m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7251829!2d41.6516994!3s0x880e3c9b05144d9f:0xaf5b7e60492537c6!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",55.7,62
154,3,23,Sky,2015-08-15 16:00:43.233028,I-290 E,53.4 miles,1 h 23 min,1 h 6 min - 1 h 56 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6831496,-87.59187,21752m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5206831!2d41.6696476!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",53.4,83
138,3,24,Sky,2015-08-15 16:00:37.542522,I-90 E,85.8 miles,1 h 57 min,1 h 39 min - 2 h 32 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6441571,-87.6863305,21787m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5198319!2d41.6672388!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",85.8,117
